-859707,12
-3884,2
-597305,4
-2242130,1
-5072256,1
-5928078,1
-4612729,1
-1587021,1
-1719636,1
-1390671,1
-1587280,1
-1257802,1
-863046,1
-796226,2
-927045,2
-1320776,6
-1254213,7
-1385542,4
-1451335,9
-1385540,12
-1451333,6
-1517126,5
-1253956,13
-1385029,9
-1385030,4
-1450823,8
-1517128,5
-1451080,4
-1385287,1
-1319494,3
-1516616,10
-1648202,6
-1779788,4
-1713741,1
-1582155,1
-1647948,1
-1845327,4
-1911374,5
-1845581,7
-1977167,4
-2108753,1
-1911120,1
-1976143,2
-1712971,3
-1844557,3
-1910350,4
-1778764,7
-1778766,2
-1713995,5
-1780045,3
-1648459,4
-1385799,5
-1122627,13
-991041,4
-925502,14
-859709,10
-925241,3
-859448,3
-793401,5
-859194,22
-924989,19
-1056577,15
-1122370,20
-1188161,23
-1253954,18
-1253952,4
-1188159,9
-1122366,18
-1122368,21
-1319747,14
-1253695,16
-1122879,7
-926270,8
-1122881,4
-1188674,8
-597564,1
-469828,1
-867666,1
-1201253,1
-3044997,1
-3506061,1
-2519166,1
-2520193,1
-7191496,1
-6139321,1
-2783878,1
-3046795,1
-2323842,1
-3904929,1
-2653836,1
-1072748,1
-2121073,1
-5865113,1
-2506590,2
-3887984,1
-4939902,1
-1190469,2
-794941,4
-991809,14
-926016,8
-1254981,5
-1320774,4
-1386567,4
-1517639,3
-1451592,3
-1188420,4
-1188163,10
-1450820,7
-1648199,4
-1518153,3
-1123908,8
-729920,1
-1321289,4
-1516877,1
-1253451,1
-1189450,1
-927305,1
-599621,1
-534341,1
-995919,1
-1654364,1
-1260120,1
-1063256,1
-471889,1
-668498,1
-1259606,1
-1192273,1
-138555,1
-862019,1
-664638,1
-1123906,4
-1385538,7
-1452873,2
-927299,3
-992322,6
-1189188,2
-1517385,3
-1648971,7
-1583948,2
-1518155,3
-1256011,2
-1321034,1
-1386829,1
-1517902,3
-1583695,1
-1649488,4
-1715281,3
-1847378,1
-1781585,1
-1584206,1
-1255241,1
-1189190,8
-1123397,6
-1057604,9
-728637,2
-860223,5
-1057602,8
-992063,14
-860477,2
-793914,12
-728121,7
-1255494,4
-1255496,4
-1189703,2
-1254983,5
-1452362,8
-1847121,2
-1781328,3
-1978707,1
-2505051,2
-2176086,3
-1912914,2
-2044500,1
-2110293,3
-1715535,1
-2768223,1
-2241879,1
-2636637,1
-2834016,1
-3097187,1
-2702429,1
-2439257,1
-2834015,1
-3228773,2
-3031394,1
-4215668,1
-3887216,1
-3031907,1
-3295079,1
-3821423,2
-4676732,1
-5334662,1
-4610939,1
-4545146,1
-4874111,1
-4808832,1
-5137797,1
-5532809,1
-5335430,1
-5401736,1
-6257045,1
-7046307,1
-6519963,1
-6191511,2
-6125718,2
-6388890,2
-6652063,1
-6388891,1
-6784418,1
-8889794,1
-8495036,1
-7113383,1
-7705520,1
-7771313,2
-6981797,1
-7047590,1
-5863316,1
-5008007,1
-6258074,1
-7376555,1
-8166071,2
-7902899,1
-6060695,1
-6060440,1
-6192539,1
-5863576,1
-6389920,1
-7113643,1
-7311022,1
-7705780,1
-7968952,1
-7639987,1
-7377329,1
